algorithm,target,outer_fold,best_config,class_labels,inner_mae_mean,inner_qwk_mean
CORAL con pesos,GDS_R4,4,"{""beta"": 0.9, ""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.33297045333812186,0.3975002884432957
CORAL con pesos,GDS_R4,5,"{""beta"": 0.9, ""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.356022685611247,0.41083654437765366
CORN,GDS_R4,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17989495185293258,0.14940201084700114
CORN,GDS_R4,2,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.16759070129364848,0.2884807666384721
CORN,GDS_R4,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1709389239298781,0.2802380902895584
CORN,GDS_R4,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17318728348783793,0.3004033816973764
CORN,GDS_R4,5,"{""dropout"": 0.3, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.16741113181148196,0.30212063247426263
Softmax equiparado (argmax),GDS_R4,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1743058517205001,0.26957618865678096
Softmax equiparado (argmax),GDS_R4,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1664721330609863,0.31234995155891127
Softmax equiparado (argmax),GDS_R4,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1631276514556351,0.3028618821406364
Softmax equiparado (argmax),GDS_R4,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17206871525517572,0.2821443477497094
Softmax equiparado (argmax),GDS_R4,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1685259590132657,0.279802215953647
Softmax equiparado (mediana),GDS_R4,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1743058517205001,0.26957618865678096
Softmax equiparado (mediana),GDS_R4,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1664721330609863,0.31234995155891127
Softmax equiparado (mediana),GDS_R4,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1631276514556351,0.3028618821406364
Softmax equiparado (mediana),GDS_R4,4,"{""dropout"": 0.15, ""hidden_dim"": 64, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",0.17206871525517572,0.2821443477497094
Softmax equiparado (mediana),GDS_R4,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.0005, ""weight_decay"": 0.0001}","[1, 2, 3]",0.1685259590132657,0.279802215953647
Softmax fijo,GDS_R5,1,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R5,2,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R5,3,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R5,4,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
Softmax fijo,GDS_R5,5,"{""dropout"": 0.15, ""hidden_dim"": 32, ""learning_rate"": 0.001, ""weight_decay"": 0.0001}","[1, 2, 3]",nan,nan
